epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,323.9,2.3281,3.56641,2.81937,0.0056,0.13396,0.00691,0.00258,2.19394,inf,2.88645,0.00138248,0.00138248,0.00138248
2,633.13,2.33595,3.48059,2.78869,0.00561,0.14309,0.0075,0.00277,2.19156,inf,2.83265,0.00276358,0.00276358,0.00276358
3,942.443,2.28911,2.61222,2.66129,0.0628,0.10592,0.04755,0.01378,1.93179,2.05634,2.34676,0.00414239,0.00414239,0.00414239
4,1247.96,1.78438,1.91521,2.0724,0.90586,0.19102,0.20094,0.12084,1.41616,1.5272,1.7605,0.00551892,0.00551892,0.00551892
5,1551.86,1.41706,1.5999,1.68044,0.82379,0.21096,0.23236,0.15974,1.18277,1.31137,1.47914,0.00689316,0.00689316,0.00689316
6,1852.52,1.26299,1.43316,1.51569,0.76301,0.22441,0.24807,0.17822,1.07629,1.19697,1.35542,0.00826512,0.00826512,0.00826512
7,2150.08,1.17284,1.32829,1.42414,0.65298,0.25633,0.26498,0.19326,1.00369,1.10805,1.28193,0.00963479,0.00963479,0.00963479
8,2446.22,1.10831,1.24166,1.35726,0.64031,0.27753,0.27961,0.20517,0.94601,1.04114,1.21878,0.00994219,0.00994219,0.00994219
9,2741.89,1.05161,1.17145,1.30596,0.63839,0.30303,0.3008,0.21865,0.90464,0.97969,1.17971,0.00993393,0.00993393,0.00993393
10,3036.75,1.01069,1.11378,1.26479,0.64625,0.31999,0.31502,0.22848,0.86771,0.9363,1.14035,0.00992568,0.00992568,0.00992568
11,3331.74,0.97247,1.06255,1.22941,0.67017,0.33577,0.33466,0.23936,0.8409,0.90288,1.10893,0.00991742,0.00991742,0.00991742
12,3626.58,0.94389,1.02404,1.20438,0.53884,0.34905,0.34752,0.24893,0.81609,0.86608,1.0845,0.00990916,0.00990916,0.00990916
13,3921.65,0.91961,0.9901,1.18193,0.42587,0.36476,0.36259,0.25787,0.79574,0.83266,1.06441,0.0099009,0.0099009,0.0099009
14,4216.57,0.89644,0.95804,1.15967,0.42843,0.38828,0.37766,0.26695,0.77371,0.81112,1.04387,0.00989264,0.00989264,0.00989264
15,4511.36,0.87922,0.93358,1.14418,0.44043,0.3899,0.38748,0.27477,0.75592,0.78737,1.02923,0.00988438,0.00988438,0.00988438
16,4806.11,0.86068,0.91062,1.12922,0.45293,0.41323,0.40076,0.28195,0.74005,0.76112,1.01371,0.00987612,0.00987612,0.00987612
17,5100.43,0.8459,0.88647,1.11483,0.46534,0.42124,0.41133,0.28952,0.7277,0.74173,1.00042,0.00986787,0.00986787,0.00986787
18,5395.39,0.83139,0.86754,1.10246,0.47312,0.43564,0.42369,0.29743,0.71348,0.72516,0.99001,0.00985961,0.00985961,0.00985961
19,5690.13,0.82262,0.85527,1.09479,0.49035,0.44876,0.43784,0.30654,0.70246,0.70669,0.97838,0.00985135,0.00985135,0.00985135
20,5984.86,0.81056,0.83462,1.08361,0.4981,0.45411,0.44668,0.31207,0.68997,0.69196,0.96751,0.00984309,0.00984309,0.00984309
21,6279.6,0.80131,0.8189,1.07529,0.51521,0.46443,0.45427,0.31779,0.68058,0.67496,0.95887,0.00983483,0.00983483,0.00983483
22,6573.94,0.78477,0.80121,1.06259,0.5336,0.4692,0.46741,0.32602,0.67077,0.65871,0.95016,0.00982658,0.00982658,0.00982658
23,6867.72,0.77921,0.78938,1.05705,0.53529,0.48854,0.47453,0.33138,0.66073,0.64986,0.94363,0.00981832,0.00981832,0.00981832
24,7161.82,0.76955,0.77425,1.04991,0.55885,0.49817,0.4884,0.34006,0.64985,0.63635,0.93368,0.00981006,0.00981006,0.00981006
25,7456.12,0.76232,0.76319,1.0429,0.56028,0.50309,0.49561,0.34508,0.64306,0.62207,0.9278,0.0098018,0.0098018,0.0098018
26,7750.74,0.75209,0.74958,1.03533,0.5713,0.51761,0.50458,0.35107,0.6339,0.60905,0.91922,0.00979354,0.00979354,0.00979354
27,8045.21,0.74856,0.74217,1.02862,0.57545,0.51847,0.51133,0.35673,0.62392,0.59812,0.91074,0.00978528,0.00978528,0.00978528
28,8340.1,0.73944,0.7283,1.02327,0.58652,0.52603,0.51936,0.36275,0.61699,0.58766,0.90482,0.00977702,0.00977702,0.00977702
29,8634.94,0.73189,0.72133,1.01715,0.59003,0.53008,0.525,0.36824,0.60861,0.57748,0.89792,0.00976877,0.00976877,0.00976877
30,8930.12,0.72694,0.71294,1.01319,0.60192,0.53844,0.53441,0.37448,0.60047,0.56342,0.89075,0.00976051,0.00976051,0.00976051
31,9224.78,0.72175,0.70184,1.00827,0.60616,0.54204,0.54022,0.37963,0.59143,0.55249,0.88346,0.00975225,0.00975225,0.00975225
32,9519.28,0.71588,0.6944,1.00376,0.62043,0.54343,0.54853,0.38511,0.5843,0.54132,0.87719,0.00974399,0.00974399,0.00974399
33,9813.77,0.70783,0.68313,0.99714,0.62384,0.54576,0.55562,0.39085,0.57714,0.53208,0.87151,0.00973573,0.00973573,0.00973573
34,10108.2,0.70123,0.67606,0.991,0.6314,0.55824,0.56085,0.39585,0.57029,0.52368,0.86542,0.00972747,0.00972747,0.00972747
35,10402.4,0.69697,0.66765,0.98835,0.6269,0.56602,0.56639,0.40012,0.56344,0.51303,0.85954,0.00971922,0.00971922,0.00971922
36,10696.5,0.69016,0.65911,0.98342,0.64699,0.56713,0.57647,0.40736,0.55567,0.50162,0.85382,0.00971096,0.00971096,0.00971096
37,10990.7,0.68538,0.65045,0.97861,0.64645,0.57221,0.58155,0.41213,0.54982,0.49386,0.84854,0.0097027,0.0097027,0.0097027
